scenario,year,region,input,FiberCrop_withdrawal,Rice_withdrawal,Wheat_withdrawal,SugarCrop_withdrawal,MiscAll_withdrawals,Corn_withdrawal,MiscCrop_withdrawal,OilCrop_withdrawal,OtherGrain_withdrawal,Root_Tuber_withdrawal,gw,res,esm,tax,ssp,ag,soc,cluster_FiberCrop_withdrawal_Rice_withdrawal,cluster_FiberCrop_withdrawal_SugarCrop_withdrawal,cluster_FiberCrop_withdrawal_Wheat_withdrawal,cluster_FiberCrop_withdrawal_MiscAll_withdrawals,cluster_Rice_withdrawal_SugarCrop_withdrawal,cluster_Rice_withdrawal_Wheat_withdrawal,cluster_Rice_withdrawal_MiscAll_withdrawals,cluster_SugarCrop_withdrawal_Wheat_withdrawal,cluster_SugarCrop_withdrawal_MiscAll_withdrawals
ssp_socio3_ag1_gwhi_exp_gfdl_NDC_Tax_ffict,2100,India,water_td_irr_GangesR_W,3.21865,59.33069999999999,137.78140000000002,65.2214,52.762078,1.01109,32.6794,14.84975,2.95325,1.2685879999999998,3,2,1,1,1,1,3,6,4,0,6,7,7,3,6,4
ssp_socio3_ag1_gwhi_exp_gfdl_NDC_Tax_uct,2100,India,water_td_irr_GangesR_W,2.951846,66.5025,149.9807,78.77510000000002,63.569438000000005,1.119317,41.2605,16.00508,3.5918300000000003,1.592711,3,2,1,2,1,1,3,6,6,0,3,5,7,6,6,4
ssp_socio3_ag1_gwhi_exp_hadgem_NDC_Tax_ffict,2100,India,water_td_irr_GangesR_W,3.30035,60.6147,140.6413,66.9855,54.217037999999995,1.03715,33.6181,15.22341,3.03561,1.302768,3,2,2,1,1,1,3,6,4,0,6,7,7,3,6,4
ssp_socio3_ag1_gwhi_exp_hadgem_NDC_Tax_uct,2100,India,water_td_irr_GangesR_W,2.973281,66.7681,150.3243,79.1621,63.95739500000002,1.127799,41.50700000000001,16.098570000000002,3.6203,1.603726,3,2,2,2,1,1,3,6,6,0,3,5,7,6,6,4
ssp_socio3_ag1_gwhi_exp_ipsl_NDC_Tax_ffict,2100,India,water_td_irr_GangesR_W,3.28292,61.5141,142.5692,68.8608,54.68890400000001,1.057186,33.6469,15.58251,3.07547,1.326838,3,2,3,1,1,1,3,6,4,0,6,7,7,3,6,4
ssp_socio3_ag1_gwhi_exp_ipsl_NDC_Tax_uct,2100,India,water_td_irr_GangesR_W,2.929396,66.7978,151.2152,79.73570000000002,63.978966,1.13661,41.349,16.238229999999998,3.64489,1.610236,3,2,3,2,1,1,3,6,6,0,3,5,7,6,6,4
ssp_socio3_ag1_gwhi_exp_miroc_NDC_Tax_ffict,2100,India,water_td_irr_GangesR_W,3.3578,61.6671,144.1764,69.1592,55.720824000000015,1.044865,34.72920000000001,15.51324,3.10041,1.333109,3,2,4,1,1,1,3,6,4,0,6,7,7,3,6,4
ssp_socio3_ag1_gwhi_exp_miroc_NDC_Tax_uct,2100,India,water_td_irr_GangesR_W,2.983168,67.1078,151.6446,79.619,64.587552,1.129356,42.1019,16.12431,3.622230000000001,1.609756,3,2,4,2,1,1,3,6,6,0,3,5,7,6,6,4
ssp_socio3_ag1_gwhi_exp_noresm_NDC_Tax_ffict,2100,India,water_td_irr_GangesR_W,3.2334400000000003,60.0108,139.7351,67.134,53.68926199999999,1.034781,33.0226,15.27296,3.05468,1.304241,3,2,5,1,1,1,3,6,4,0,6,7,7,3,6,4
ssp_socio3_ag1_gwhi_exp_noresm_NDC_Tax_uct,2100,India,water_td_irr_GangesR_W,2.919101,66.2234,149.65210000000005,78.8679,63.752340000000004,1.128034,41.2724,16.11035,3.63405,1.607506,3,2,5,2,1,1,3,6,6,0,3,5,7,6,6,4
ssp_socio3_ag1_gwhi_rs_gfdl_NDC_Tax_uct,2100,India,water_td_irr_GangesR_W,2.938445,66.84389999999999,140.9197,77.0619,61.46306800000001,1.121409,39.9651,15.23002,3.54934,1.597199,3,1,1,2,1,1,3,6,6,0,3,5,7,6,6,4
ssp_socio3_ag1_gwhi_rs_hadgem_NDC_Tax_uct,2100,India,water_td_irr_GangesR_W,2.958065,67.1221,141.8403,77.4117,62.083406,1.128487,40.3208,15.449320000000002,3.57916,1.605639,3,1,2,2,1,1,3,6,6,0,3,5,7,6,6,4
ssp_socio3_ag1_gwhi_rs_ipsl_NDC_Tax_uct,2100,India,water_td_irr_GangesR_W,2.919454,67.1169,143.7576,78.3942,62.686033,1.135023,40.7389,15.59537,3.60361,1.61313,3,1,3,2,1,1,3,6,6,0,3,5,7,6,6,4
ssp_socio3_ag1_gwhi_rs_miroc_NDC_Tax_uct,2100,India,water_td_irr_GangesR_W,2.972566,67.5295,142.62290000000004,78.196,62.430555,1.128356,40.6973,15.407509999999998,3.58158,1.615809,3,1,4,2,1,1,3,6,6,0,3,5,7,6,6,4
ssp_socio3_ag1_gwhi_rs_noresm_NDC_Tax_uct,2100,India,water_td_irr_GangesR_W,2.9019630000000003,66.3151,140.26409999999998,76.55590000000002,61.81948500000001,1.129807,40.161,15.3232,3.59282,1.612658,3,1,5,2,1,1,3,6,6,0,3,5,7,6,6,4
ssp_socio3_ag1_gwlo_exp_gfdl_NDC_Tax_ffict,2100,India,water_td_irr_GangesR_W,3.2251000000000003,59.3437,137.9393,65.2029,53.166151000000006,1.008805,33.1122,14.83101,2.94505,1.2690860000000002,1,2,1,1,1,1,3,6,4,0,6,7,7,3,6,4
ssp_socio3_ag1_gwlo_exp_gfdl_NDC_Tax_uct,2100,India,water_td_irr_GangesR_W,2.974069,66.5811,149.9078,78.7025,63.710195,1.119153,41.4339,15.97784,3.58653,1.592772,1,2,1,2,1,1,3,6,6,0,3,5,7,6,6,4
ssp_socio3_ag1_gwlo_exp_hadgem_NDC_Tax_ffict,2100,India,water_td_irr_GangesR_W,3.30524,60.6503,140.9771,67.7502,54.679817,1.031895,34.058,15.25876,3.0283,1.3028620000000002,1,2,2,1,1,1,3,6,4,0,6,7,7,3,6,4
